idx,claim_type,qwen_verdict,chain_consistent,类别,建议操作,问题说明,claim,factor,effect,cell_line,evidence_source,direction
367,mechanistic,unsupported,True,证据不相关,剔除,"证据是铁死亡敏感性，claim说NCOA4增强promoter，两者无关","文献证据表明，在未指定细胞系的实验中，因子NCOA4增强（increases）promoter活性；机制上，NCOA4 expression modulated sensitivity to ferroptosis-inducing agents.（来源：PMID 40758996）。",NCOA4,increases,not_specified,PubMed 40758996,increases_activity
375,mechanistic,unclear,True,证据间接,复核降级/改写,"unclear：证据'TSKU影响维生素D代谢酶表达'，跳跃到调节enhancer活性","文献证据表明，在HepG2（肝癌细胞）的实验中，因子TSKU调节（modulates）enhancer活性（方向依赖上下文）；机制上，TSKU influences expression of vitamin D-metabolizing enzymes.（来源：PMID 40301309）。",TSKU,modulates,HepG2,PubMed 40301309,modulates_activity
381,mechanistic,unsupported,False,证据间接,复核降级/改写,"证据'ODC1肿瘤上调与增殖'，未直接说明增强promoter活性","文献证据表明，在未指定细胞系的实验中，因子ODC1增强（increases）promoter活性；机制上，ODC1 was consistently upregulated in primary and metastatic tumors",ODC1,increases,not_specified,PubMed 41359169,increases_activity
399,mechanistic,unsupported,True,方向/主客体反,修正,"证据是'OsDDE9调节Ghd7/Ehd1表达'，被写成Ghd7/Ehd1调节promoter","文献证据表明，在未指定细胞系的实验中，因子Ghd7 and Ehd1调节（modulates）promoter活性（方向依赖上下文）；机制上，OsDDE9 regulates the expression of Ghd7 and Ehd1",Ghd7 and Ehd1,modulates,not_specified,PubMed 37722508,modulates_activity
418,mechanistic,unsupported,False,Qwen误判-可放行,保留,"证据'DNA甲基化抑制MYB表达'→降低enhancer活性，链条可接","文献证据表明，在K562（红系前体细胞）的实验中，因子DNA methylation降低（decreases）enhancer活性；机制上，DNA methylation inhibited MYB expression.（来源：PMID ",DNA methylation,decreases,K562,PubMed 33637692,decreases_activity
425,design_rule,unsupported,False,推理链缺陷,修正chain,"design_rule：chain未明确'应避免引入'，且末步提到需功能实验削弱结论","设计建议（文献增强）：在设计K562（红系前体细胞）的promoter序列时，应避免引入H3 acetylation at lysine 4 and 9 (K4 and K9)相关特征，因其与高活性负相关（来源：PMID 28216155）",H3 acetylation at lysine 4 and 9 (K4 and K9),decreases,K562,PubMed 28216155,decreases_activity
447,design_rule,unclear,False,推理链缺陷,修正chain,"design_rule：chain第二步缺乏acetylating agents与活性关系的直接支持","设计建议（文献增强）：在设计K562（红系前体细胞）的promoter序列时，应包含acetylating and de-methylating agents相关特征，因其与高活性正相关（来源：PMID 27625068）。",acetylating and de-methylating agents,increases,K562,PubMed 27625068,increases_activity
449,design_rule,unclear,False,推理链缺陷,修正chain,"design_rule：chain第二三步缺乏直接证据支持","设计建议（文献增强）：在设计未指定细胞系的promoter序列时，应包含acetylating and de-methylating agents相关特征，因其与高活性正相关（来源：PMID 27625068）。",acetylating and de-methylating agents,increases,not_specified,PubMed 27625068,increases_activity
470,mechanistic,unsupported,True,过度泛化,复核降级/改写,"证据'caQTL破坏TF结合位点'，泛化为TF结合motif调节promoter","文献证据表明，在未指定细胞系的实验中，因子transcription factor binding motifs调节（modulates）promoter活性（方向依赖上下文）；机制上，caQTL variants frequently d",transcription factor binding motifs,modulates,not_specified,PubMed 34038741,modulates_activity
479,mechanistic,unsupported,True,过度泛化,复核降级/改写,"证据'NF-Y对MAFA启动子必需'，泛化为对所有promoter必需","文献证据表明，在未指定细胞系的实验中，因子NF-Y对promoter活性是必需的（required_for）；机制上，Two E-box elements and a CCAAT motif, which bind NeuroD1 and ",NF-Y,required_for,not_specified,PubMed 39189982,required_for_activity
